,number,title,labels,body,assignees,milestone,comments,created_at,closed_at,author_association,body.1,address_date,Closing_time,Author_Priority,Closetime_class,hotness
47,16838,Fixes issue when linking of rule '//tensorflow/contrib/lite/toco:toco…,"awaiting testing (then merge),cla: yes","Fixes issue when linking of rule '//tensorflow/contrib/lite/toco:toco' fails because LD_LIBRARY_PATH is not configured. The workaround is to add `--action_env=""LD_LIBRARY_PATH=${LD_LIBRARY_PATH}""` to `bazel build` as described here https://stackoverflow.com/questions/47080760/tensorflow-fails-to-compile/47295278#47295278.

Related to issue: https://github.com/tensorflow/tensorflow/issues/15142#issuecomment-352562394",1,,3,2018-02-07T17:21:21Z,2018-02-07T22:19:26Z,CONTRIBUTOR,"Fixes issue when linking of rule '//tensorflow/contrib/lite/toco:toco' fails because LD_LIBRARY_PATH is not configured. The workaround is to add `--action_env=""LD_LIBRARY_PATH=${LD_LIBRARY_PATH}""` to `bazel build` as described here https://stackoverflow.com/questions/47080760/tensorflow-fails-to-compile/47295278#47295278.

Related to issue: https://github.com/tensorflow/tensorflow/issues/15142#issuecomment-352562394",2018-02-07T17:22:25Z,0,2,0,4.823515453148673
48,16837,Remove warnings in tf.losses.softmax_cross_entropy,cla: yes,"This fix tries to address the issue raised in #16534 where tf.losses.softmax_cross_entropy causes warnings due to the calling of tf.nn.softmax_cross_entropy_with_logits.

This fix switches to tf.nn.softmax_cross_entropy_with_logits_v2 to remove the warning.

This fix fixes #16534.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>",1,,3,2018-02-07T16:27:50Z,2018-02-08T00:14:24Z,MEMBER,"This fix tries to address the issue raised in #16534 where tf.losses.softmax_cross_entropy causes warnings due to the calling of tf.nn.softmax_cross_entropy_with_logits.

This fix switches to tf.nn.softmax_cross_entropy_with_logits_v2 to remove the warning.

This fix fixes #16534.

Signed-off-by: Yong Tang <yong.tang.github@outlook.com>",2018-02-07T22:45:55Z,1,3,0,5.823515453148673
49,16833,Tensorflow Lite demo app for Android: add support for floating point models as Inception-v3,"awaiting testing (then merge),cla: yes,comp:lite","Although the new Lite interface does support float models as well, the current Android demo app does only support quantized models. Furthermore, it isn't obvious to transfer the code from the quantized version to the floating point model. [Based on this discussion](https://github.com/tensorflow/tensorflow/issues/14719) I integrated the [Inception-v3 slim model](https://storage.googleapis.com/download.tensorflow.org/models/tflite/inception_v3_slim_2016_android_2017_11_10.zip) as an alternative to the existing MobileNet.

_Remaining TODO_:
The confidence scores returned by the inception net are not in [0,1] yet. Besides that, the inference itself seems to work. So the correct results are listed on top, but the confidence score isn't normalized. Maybe the given model doesn't include a Softmax layer and ends with the logits? I'm not sure about this. Any help is appreciated.",1,,4,2018-02-07T14:23:50Z,2018-02-16T00:04:12Z,CONTRIBUTOR,"Although the new Lite interface does support float models as well, the current Android demo app does only support quantized models. Furthermore, it isn't obvious to transfer the code from the quantized version to the floating point model. [Based on this discussion](https://github.com/tensorflow/tensorflow/issues/14719) I integrated the [Inception-v3 slim model](https://storage.googleapis.com/download.tensorflow.org/models/tflite/inception_v3_slim_2016_android_2017_11_10.zip) as an alternative to the existing MobileNet.

_Remaining TODO_:
The confidence scores returned by the inception net are not in [0,1] yet. Besides that, the inference itself seems to work. So the correct results are listed on top, but the confidence score isn't normalized. Maybe the given model doesn't include a Softmax layer and ends with the logits? I'm not sure about this. Any help is appreciated.",2018-02-07T14:35:44Z,9,2,2,5.323515453148673
50,16830,[tflite] fixed label_image resize bilinear problems,cla: yes,"1. Interpreter does not need delete anymore, so cannot use `std::unique_ptr<>`, otherwise there will be double free
2. ResizeBilinear need the `align_corners` parameter after https://github.com/tensorflow/tensorflow/commit/1a0b637df8d082301118dd0f85ec63704f862aeb",1,,1,2018-02-07T12:48:06Z,2018-02-14T00:53:37Z,CONTRIBUTOR,"1. Interpreter does not need delete anymore, so cannot use `std::unique_ptr<>`, otherwise there will be double free
2. ResizeBilinear need the `align_corners` parameter after https://github.com/tensorflow/tensorflow/commit/1a0b637df8d082301118dd0f85ec63704f862aeb",2018-02-14T00:53:37Z,7,2,1,3.8235154531486724
51,16829,tf.contrib.estimator.replicate_model_fn fails when a trainable variable doesn't have gradient,type:bug/performance,"tf.contrib.estimator.replicate_model_fn fails when the gradient of a trainable variable is None. The error messages are:

```
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/estimator/estimator.py"", line 302, in train
    loss = self._train_model(input_fn, hooks, saving_listeners)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/estimator/estimator.py"", line 711, in _train_model
    features, labels, model_fn_lib.ModeKeys.TRAIN, self.config)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/estimator/estimator.py"", line 694, in _call_model_fn
    model_fn_results = self._model_fn(features=features, **kwargs)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/contrib/estimator/python/estimator/replicate_model_fn.py"", line 235, in replicated_model_fn
    local_ps_devices=ps_devices)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/contrib/estimator/python/estimator/replicate_model_fn.py"", line 558, in _get_loss_towers
    **optional_params)
  File ""model-60m-1280-2gpus-16-32-64-128-bn50000/net.py"", line 38, in model_fn
    train_op = optimizer.minimize(model.total_loss, global_step)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/training/optimizer.py"", line 353, in minimize
    name=name)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/contrib/estimator/python/estimator/replicate_model_fn.py"", line 317, in apply_gradients
    with ops_lib.control_dependencies(_extract_tensors(grads_and_vars)):
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/ops.py"", line 4304, in control_dependencies
    return get_default_graph().control_dependencies(control_inputs)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/ops.py"", line 4017, in control_dependencies
    c = self.as_graph_element(c)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/ops.py"", line 3035, in as_graph_element
    return self._as_graph_element_locked(obj, allow_tensor, allow_operation)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/ops.py"", line 3124, in _as_graph_element_locked
    types_str))
TypeError: Can not convert a NoneType into a Tensor or Operation.
```",1,,3,2018-02-07T11:27:24Z,2018-02-13T22:48:05Z,NONE,"tf.contrib.estimator.replicate_model_fn fails when the gradient of a trainable variable is None. The error messages are:

```
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/estimator/estimator.py"", line 302, in train
    loss = self._train_model(input_fn, hooks, saving_listeners)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/estimator/estimator.py"", line 711, in _train_model
    features, labels, model_fn_lib.ModeKeys.TRAIN, self.config)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/estimator/estimator.py"", line 694, in _call_model_fn
    model_fn_results = self._model_fn(features=features, **kwargs)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/contrib/estimator/python/estimator/replicate_model_fn.py"", line 235, in replicated_model_fn
    local_ps_devices=ps_devices)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/contrib/estimator/python/estimator/replicate_model_fn.py"", line 558, in _get_loss_towers
    **optional_params)
  File ""model-60m-1280-2gpus-16-32-64-128-bn50000/net.py"", line 38, in model_fn
    train_op = optimizer.minimize(model.total_loss, global_step)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/training/optimizer.py"", line 353, in minimize
    name=name)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/contrib/estimator/python/estimator/replicate_model_fn.py"", line 317, in apply_gradients
    with ops_lib.control_dependencies(_extract_tensors(grads_and_vars)):
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/ops.py"", line 4304, in control_dependencies
    return get_default_graph().control_dependencies(control_inputs)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/ops.py"", line 4017, in control_dependencies
    c = self.as_graph_element(c)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/ops.py"", line 3035, in as_graph_element
    return self._as_graph_element_locked(obj, allow_tensor, allow_operation)
  File ""/usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/ops.py"", line 3124, in _as_graph_element_locked
    types_str))
TypeError: Can not convert a NoneType into a Tensor or Operation.
```",2018-02-07T19:36:32Z,6,1,1,3.8235154531486724
52,16828,Code size with XLA AOT,,"I currently research about xla using AOT compilation and use Cifar10 as benchmark

After using AOT compilation, I got a binary file that size is 5.3MB, but the original tensorflow graph's size is about 4.2MB. Does it means a using AOT compilation can't promise always reduce code size efficiently?
",0,,5,2018-02-07T11:05:27Z,2018-02-09T19:36:39Z,NONE,"I currently research about xla using AOT compilation and use Cifar10 as benchmark

After using AOT compilation, I got a binary file that size is 5.3MB, but the original tensorflow graph's size is about 4.2MB. Does it means a using AOT compilation can't promise always reduce code size efficiently?
",2018-02-07T19:36:27Z,2,1,0,3.8235154531486724
53,16827,how to build and install cplusplus library and header file to /usr/local?,,how to build and install cplusplus library and header file to /usr/local?,0,,3,2018-02-07T10:25:25Z,2018-02-09T18:09:02Z,NONE,how to build and install cplusplus library and header file to /usr/local?,2018-02-07T19:36:22Z,2,1,0,2.8235154531486724
54,16816,Move some ndlstm functions to contrib,cla: yes,Moved `images_to_sequence` and `sequence_to_images` to contrib.layers since the ndlstm module might be removed in the future tensorflow versions. Addresses this issue: https://github.com/tensorflow/tensorflow/issues/16794,0,,8,2018-02-07T01:19:02Z,2018-02-08T20:16:38Z,CONTRIBUTOR,Moved `images_to_sequence` and `sequence_to_images` to contrib.layers since the ndlstm module might be removed in the future tensorflow versions. Addresses this issue: https://github.com/tensorflow/tensorflow/issues/16794,2018-02-07T01:46:48Z,1,2,0,6.323515453148673
55,16815,Update tensorboard dependency to 1.6.0+ and new name,cla: yes,"TensorBoard for versions 1.6.0+ will use the `tensorboard` name on PyPI rather than the previous `tensorflow-tensorboard` name.  Unfortunately PyPI/pip have no notion of package ""renames"" so it will look like an unrelated dependency, i.e. users doing an upgrade will wind up with both names installed, although the new `tensorboard` package will overwrite the old one functionally speaking.

Let me know if you think it's worth mentioning this in the release notes.

Note that the new name currently just has [TB 1.6.0-rc0 on PyPI](https://pypi.python.org/pypi/tensorboard/1.6.0rc0) but we should have the 1.6.0 final release out in a couple days, before TF 1.6.0 is published.

cc @jhseu 
",0,,4,2018-02-07T01:02:33Z,2018-02-09T21:15:32Z,CONTRIBUTOR,"TensorBoard for versions 1.6.0+ will use the `tensorboard` name on PyPI rather than the previous `tensorflow-tensorboard` name.  Unfortunately PyPI/pip have no notion of package ""renames"" so it will look like an unrelated dependency, i.e. users doing an upgrade will wind up with both names installed, although the new `tensorboard` package will overwrite the old one functionally speaking.

Let me know if you think it's worth mentioning this in the release notes.

Note that the new name currently just has [TB 1.6.0-rc0 on PyPI](https://pypi.python.org/pypi/tensorboard/1.6.0rc0) but we should have the 1.6.0 final release out in a couple days, before TF 1.6.0 is published.

cc @jhseu 
",2018-02-07T21:09:49Z,2,2,0,4.323515453148673
56,16812,Improve TensorFlow Lite description,cla: yes,"I just started working with the new TensorFlow Lite interface and noticed a few errors in the [description](https://github.com/tensorflow/tensorflow/tree/master/tensorflow/contrib/lite).
- First of all, there is a small typo / copy and paste error that is already fixed in this pr.
- Furthermore, the new file extension isn't described consistently. Sometimes it's _.lite_ and sometimes it's _.tflite_. This inconsistency may be improved at other places as well.
- Finally, the given [link](https://www.tensorflow.org/mobile/android_build) that shall describe the Android integration isn't up-to-date. Instead of the new `compile 'org.tensorflow:tensorflow-lite:+'` resource, the old one (`compile 'org.tensorflow:tensorflow-android:+'`) is given.",1,,1,2018-02-06T23:56:43Z,2018-02-08T20:16:53Z,CONTRIBUTOR,"I just started working with the new TensorFlow Lite interface and noticed a few errors in the [description](https://github.com/tensorflow/tensorflow/tree/master/tensorflow/contrib/lite).
- First of all, there is a small typo / copy and paste error that is already fixed in this pr.
- Furthermore, the new file extension isn't described consistently. Sometimes it's _.lite_ and sometimes it's _.tflite_. This inconsistency may be improved at other places as well.
- Finally, the given [link](https://www.tensorflow.org/mobile/android_build) that shall describe the Android integration isn't up-to-date. Instead of the new `compile 'org.tensorflow:tensorflow-lite:+'` resource, the old one (`compile 'org.tensorflow:tensorflow-android:+'`) is given.",2018-02-08T01:01:29Z,2,2,0,3.818928988903801
57,16810,reshuffle_each_iteration args now default to True,cla: yes,"The [documentation for the tf.Dataset.data.shuffle function](https://www.tensorflow.org/api_docs/python/tf/data/Dataset#shuffle) states the following:

> + **reshuffle_each_iteration**: (Optional.) A boolean, which if true indicates that the dataset should be pseudorandomly reshuffled each time it is iterated over. (Defaults to True.)

However, the default value in the function is None:

    def shuffle(self, buffer_size, seed=None, reshuffle_each_iteration=None):

The function calls the ShuffleDataset class, whose `__init__` function also sets the same argument to None by default, and uses the following logic to set the default value of the argument to True:

    if reshuffle_each_iteration is None:
      self._reshuffle_each_iteration = True
    else:
      self._reshuffle_each_iteration = reshuffle_each_iteration

This commit sets the argument to True by default in both the function and the class, making the above code block redundant and replacing it with only `self._reshuffle_each_iteration = reshuffle_each_iteration`.
",1,,2,2018-02-06T23:05:27Z,2018-02-07T21:34:04Z,NONE,"The [documentation for the tf.Dataset.data.shuffle function](https://www.tensorflow.org/api_docs/python/tf/data/Dataset#shuffle) states the following:

> + **reshuffle_each_iteration**: (Optional.) A boolean, which if true indicates that the dataset should be pseudorandomly reshuffled each time it is iterated over. (Defaults to True.)

However, the default value in the function is None:

    def shuffle(self, buffer_size, seed=None, reshuffle_each_iteration=None):

The function calls the ShuffleDataset class, whose `__init__` function also sets the same argument to None by default, and uses the following logic to set the default value of the argument to True:

    if reshuffle_each_iteration is None:
      self._reshuffle_each_iteration = True
    else:
      self._reshuffle_each_iteration = reshuffle_each_iteration

This commit sets the argument to True by default in both the function and the class, making the above code block redundant and replacing it with only `self._reshuffle_each_iteration = reshuffle_each_iteration`.
",2018-02-07T21:34:04Z,1,1,0,3.318928988903801
58,16808,Fix error message in record_reader,cla: yes,Corrected error message logged if unsupported compression type.,1,,3,2018-02-06T20:40:25Z,2018-02-08T18:46:13Z,CONTRIBUTOR,Corrected error message logged if unsupported compression type.,2018-02-07T21:32:36Z,2,2,0,4.818928988903801
59,16807,TF 1.3 unable to create Session in the first time,stat:awaiting response,"I have install TF 1.3 GPU using anaconda. It is failed to create session as run TF in script file.

As run TF interactively or using spyder, same error messages were shown and it fail to create session in the first time. However, it able to create session if run ""sess = tf.Session()"" again. The TF will run either by input line by line script or using ""exec(compile(open(filename, ""rb"").read(), filename, 'exec'))"" 

The error message as create session:

$ source activiate tf13py36
(tf13py36)$ python
>>> import tensorflow as tf
>>> sess = tf.Session()
2018-02-05 17:44:25.343373: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-02-05 17:44:25.343398: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-02-05 17:44:25.540883: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-02-05 17:44:25.541399: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties:
name: GeForce GTX 980 Ti
major: 5 minor: 2 memoryClockRate (GHz) 1.228
pciBusID 0000:03:00.0
Total memory: 5.94GiB
Free memory: 5.83GiB
2018-02-05 17:44:25.600695: W tensorflow/stream_executor/cuda/cuda_driver.cc:523] A non-primary context 0x225e110 exists before initializing the StreamExecutor. We haven't verified StreamExecutor works with that.
2018-02-05 17:44:25.600988: E tensorflow/core/common_runtime/direct_session.cc:171] Internal: failed initializing StreamExecutor for CUDA device ordinal 1: Internal: failed call to cuDevicePrimaryCtxRetain: CUDA_ERROR_INVALID_DEVICE
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/home/tchen/anaconda3/envs/tf13py36/lib/python3.6/site-packages/tensorflow/python/client/session.py"", line 1486, in __init__
    super(Session, self).__init__(target, graph, config=config)
  File ""/home/tchen/anaconda3/envs/tf13py36/lib/python3.6/site-packages/tensorflow/python/client/session.py"", line 621, in __init__
    self._session = tf_session.TF_NewDeprecatedSession(opts, status)
  File ""/home/tchen/anaconda3/envs/tf13py36/lib/python3.6/contextlib.py"", line 89, in __exit__
    next(self.gen)
  File ""/home/tchen/anaconda3/envs/tf13py36/lib/python3.6/site-packages/tensorflow/python/framework/errors_impl.py"", line 466, in raise_exception_on_not_ok_status
    pywrap_tensorflow.TF_GetCode(status))
tensorflow.python.framework.errors_impl.InternalError: Failed to create session.
>>> sess = tf.Session()
2018-02-05 17:45:19.371509: W tensorflow/stream_executor/cuda/cuda_driver.cc:523] A non-primary context 0x225e110 exists before initializing the StreamExecutor. We haven't verified StreamExecutor works with that.
2018-02-05 17:45:19.371738: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 980 Ti, pci bus id: 0000:03:00.0)
2018-02-05 17:45:19.430913: W tensorflow/stream_executor/cuda/cuda_driver.cc:523] A non-primary context 0x225e110 exists before initializing the StreamExecutor. We haven't verified StreamExecutor works with that.
>>> x1 = tf.constant([1,2,3,4])
>>> x2 = tf.constant([5,6,7,8])
>>> result = tf.multiply(x1, x2)
>>> print(sess.run(result))
[ 5 12 21 32]

SYSTEM Infomation
ubuntu16.04
cuda V8.061
cudnn 6021
gtx1060
tensorflow1.3.0
python3.6.1
memory 30G ,used 5.5GB

$ nvidia-smi
Tue Feb  6 10:21:38 2018
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 384.111                Driver Version: 384.111                   |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX 980 Ti  Off  | 00000000:03:00.0 Off |                  N/A |
| 22%   31C    P8    19W / 250W |    110MiB /  6078MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Quadro 600          Off  | 00000000:04:00.0  On |                  N/A |
| 36%   53C    P0    N/A /  N/A |    524MiB /   959MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+

+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     19564      C   python                                        98MiB |
+-----------------------------------------------------------------------------+

I am grateful to anyone for helping me
Thank you very much!",0,,2,2018-02-06T19:27:01Z,2018-02-12T15:46:09Z,NONE,"I have install TF 1.3 GPU using anaconda. It is failed to create session as run TF in script file.

As run TF interactively or using spyder, same error messages were shown and it fail to create session in the first time. However, it able to create session if run ""sess = tf.Session()"" again. The TF will run either by input line by line script or using ""exec(compile(open(filename, ""rb"").read(), filename, 'exec'))"" 

The error message as create session:

$ source activiate tf13py36
(tf13py36)$ python
>>> import tensorflow as tf
>>> sess = tf.Session()
2018-02-05 17:44:25.343373: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-02-05 17:44:25.343398: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-02-05 17:44:25.540883: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-02-05 17:44:25.541399: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties:
name: GeForce GTX 980 Ti
major: 5 minor: 2 memoryClockRate (GHz) 1.228
pciBusID 0000:03:00.0
Total memory: 5.94GiB
Free memory: 5.83GiB
2018-02-05 17:44:25.600695: W tensorflow/stream_executor/cuda/cuda_driver.cc:523] A non-primary context 0x225e110 exists before initializing the StreamExecutor. We haven't verified StreamExecutor works with that.
2018-02-05 17:44:25.600988: E tensorflow/core/common_runtime/direct_session.cc:171] Internal: failed initializing StreamExecutor for CUDA device ordinal 1: Internal: failed call to cuDevicePrimaryCtxRetain: CUDA_ERROR_INVALID_DEVICE
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/home/tchen/anaconda3/envs/tf13py36/lib/python3.6/site-packages/tensorflow/python/client/session.py"", line 1486, in __init__
    super(Session, self).__init__(target, graph, config=config)
  File ""/home/tchen/anaconda3/envs/tf13py36/lib/python3.6/site-packages/tensorflow/python/client/session.py"", line 621, in __init__
    self._session = tf_session.TF_NewDeprecatedSession(opts, status)
  File ""/home/tchen/anaconda3/envs/tf13py36/lib/python3.6/contextlib.py"", line 89, in __exit__
    next(self.gen)
  File ""/home/tchen/anaconda3/envs/tf13py36/lib/python3.6/site-packages/tensorflow/python/framework/errors_impl.py"", line 466, in raise_exception_on_not_ok_status
    pywrap_tensorflow.TF_GetCode(status))
tensorflow.python.framework.errors_impl.InternalError: Failed to create session.
>>> sess = tf.Session()
2018-02-05 17:45:19.371509: W tensorflow/stream_executor/cuda/cuda_driver.cc:523] A non-primary context 0x225e110 exists before initializing the StreamExecutor. We haven't verified StreamExecutor works with that.
2018-02-05 17:45:19.371738: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 980 Ti, pci bus id: 0000:03:00.0)
2018-02-05 17:45:19.430913: W tensorflow/stream_executor/cuda/cuda_driver.cc:523] A non-primary context 0x225e110 exists before initializing the StreamExecutor. We haven't verified StreamExecutor works with that.
>>> x1 = tf.constant([1,2,3,4])
>>> x2 = tf.constant([5,6,7,8])
>>> result = tf.multiply(x1, x2)
>>> print(sess.run(result))
[ 5 12 21 32]

SYSTEM Infomation
ubuntu16.04
cuda V8.061
cudnn 6021
gtx1060
tensorflow1.3.0
python3.6.1
memory 30G ,used 5.5GB

$ nvidia-smi
Tue Feb  6 10:21:38 2018
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 384.111                Driver Version: 384.111                   |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  GeForce GTX 980 Ti  Off  | 00000000:03:00.0 Off |                  N/A |
| 22%   31C    P8    19W / 250W |    110MiB /  6078MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Quadro 600          Off  | 00000000:04:00.0  On |                  N/A |
| 36%   53C    P0    N/A /  N/A |    524MiB /   959MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+

+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     19564      C   python                                        98MiB |
+-----------------------------------------------------------------------------+

I am grateful to anyone for helping me
Thank you very much!",2018-02-07T07:51:56Z,6,1,1,2.318928988903801
60,16806,Update CONTRIBUTING.md,cla: yes,Edited a few grammar issues.,1,,3,2018-02-06T17:50:47Z,2018-02-08T18:47:35Z,CONTRIBUTOR,Edited a few grammar issues.,2018-02-06T18:04:54Z,2,2,0,4.818928988903801
61,16802,[tflite] make calling NNAPI work again (resend),cla: yes,"for the previous one (https://github.com/tensorflow/tensorflow/pull/16256) somehow reverted/overwritten

calling PrepareOpsAndTensors() before using NN API looks
  1. unnecessary
  2. decrease next_execution_plan_index_to_prepare_ so that
     the logic check in the next line
     `next_execution_plan_index_to_prepare_ == execution_plan_.size`
     will fail",1,,2,2018-02-06T15:26:45Z,2018-02-09T23:50:45Z,CONTRIBUTOR,"for the previous one (https://github.com/tensorflow/tensorflow/pull/16256) somehow reverted/overwritten

calling PrepareOpsAndTensors() before using NN API looks
  1. unnecessary
  2. decrease next_execution_plan_index_to_prepare_ so that
     the logic check in the next line
     `next_execution_plan_index_to_prepare_ == execution_plan_.size`
     will fail",2018-02-09T01:42:03Z,3,2,1,4.318928988903801
